 1401-091 MALINCHE, LA                   MEXICO                19.230  -98.030   4503 STRATOVOLCANO        RADIOCARBON             D7 
 1401-031 MASCOTA VOLC FIELD             MEXICO                20.620 -104.830   2540 SHIELD VOLCANOES     HOLOCENE                U  
 1401-06= MICHOACAN-GUANAJUATO           MEXICO                19.480 -102.250   3860 CINDER CONES         HISTORICAL              D2 
 1404-09= MOMOTOMBO                      NICARAGUA             12.422  -86.540   1297 STRATOVOLCANO        HISTORICAL              D2 
 1402-13- MOYUTA                         GUATEMALA             14.030  -90.100   1662 STRATOVOLCANO        HOT SPRINGS             U  
 1401-095 NAOLINCO VOLC FIELD            MEXICO                19.670  -96.750   2000 PYROCLASTIC CONES    HOLOCENE                U  
 1404-07= NEGRO, CERRO                   NICARAGUA             12.506  -86.702    728 CINDER CONES         HISTORICAL              D1 
 1404-092 NEJAPA-MIRAFLORES              NICARAGUA             12.120  -86.320    360 FISSURE VENTS        HOLOCENE                U  
 1401-10= ORIZABA, PICO DE               MEXICO                19.030  -97.268   5675 STRATOVOLCANO        HISTORICAL              D5 
 1402-11= PACAYA                         GUATEMALA             14.381  -90.601   2552 COMPLEX VOLCANO      HISTORICAL              D1 
 1401-081 PAPAYO                         MEXICO                19.308  -98.700   3600 LAVA DOME            HOLOCENE                U  
 1404-08= PILAS, LAS                     NICARAGUA             12.495  -86.688   1088 COMPLEX VOLCANO      HISTORICAL              D2 
 1401-001 PINACATE                       MEXICO                31.772 -113.498   1200 CINDER CONES         HOLOCENE                U  
 1401-09= POPOCATEPETL                   MEXICO                19.023  -98.622   5426 STRATOVOLCANOES      HISTORICAL              D1 
 1401-00- PRIETO, CERRO                  MEXICO                32.418 -115.305    223 LAVA DOME            HOLOCENE?               ?  
 1402-21- QUEZALTEPEQUE                  GUATEMALA             14.650  -89.350   1200 VOLCANIC FIELD       HOLOCENE                U  
 1404-06- ROTA                           NICARAGUA             12.550  -86.750    832 STRATOVOLCANO        HOLOCENE                U  
 1401-007 SAN BORJA VOLC FIELD           MEXICO                28.500 -113.750   1360 CINDER CONES         HOLOCENE                U  
 1404-02= SAN CRISTOBAL                  NICARAGUA             12.702  -87.004   1745 STRATOVOLCANO        HISTORICAL              D1 
 1403-001 SAN DIEGO                      EL SALVADOR           14.270  -89.480    781 VOLCANIC FIELD       HOLOCENE                U  
